Event Title,Date,Location,URL,Date_of_check
The Adults Are Dancing,"Sat, 18 May, 22:00",Wallich Manor,https://www.eventbrite.com/e/the-adults-are-dancing-tickets-893632076597?aff=ebdssbdestsearch,05/05/2024 23:07:14
Guitar and Piano Fun Workshop (For 13 – 25 Yr Olds) - SMII20240608GAP,"Sat, 8 Jun, 14:00",Brahm Centre @ Simei 148,https://www.eventbrite.sg/e/guitar-and-piano-fun-workshop-for-13-25-yr-olds-smii20240608gap-tickets-884659449227?aff=ebdssbdestsearch,05/05/2024 23:07:14
Drip Singapore presents Entity Presale Fri 10/5,May 10 · 10pm - May 11 · 3am GMT+8,Drip Singapore,https://www.eventbrite.sg/e/drip-singapore-presents-entity-presale-fri-105-tickets-893474053947?aff=ebdssbdestsearch,05/05/2024 23:07:14
Competitor Research With Ahrefs: Actionable Tips & Useful Metrics,"Tue, 14 May, 19:00",Ahrefs Pte. Ltd.,https://www.eventbrite.sg/e/competitor-research-with-ahrefs-actionable-tips-useful-metrics-tickets-895693542497?aff=ebdssbdestsearch,05/05/2024 23:07:14
AngelCentral Deep Dive Series: Understanding and Investing in Profitable SM,"Friday, May 10 · 4 - 6pm GMT+8",BLOCK71 Singapore,https://www.eventbrite.com/e/angelcentral-deep-dive-series-understanding-and-investing-in-profitable-sm-tickets-884731344267?aff=ebdssbdestsearch,05/05/2024 23:07:14
"Bollywood Club KALA CHASHMA at Hard Rock Cafe, Singapore","Sat, 18 May, 22:30",Hard Rock Cafe Singapore,https://www.eventbrite.com.au/e/bollywood-club-kala-chashma-at-hard-rock-cafe-singapore-tickets-885386704467?aff=ebdssbdestsearch,05/05/2024 23:07:14
Death Meditation - An Evening of De-attachment and Letting-go,"Friday
May
17
7:00 PM",SPACE2B,https://www.eventbrite.sg/e/death-meditation-an-evening-of-de-attachment-and-letting-go-tickets-812069129627?aff=ebdssbdestsearch,05/05/2024 23:07:14
Death Meditation - An Evening of De-attachment and Letting-go,"Friday
May
31
7:00 PM",SPACE2B,https://www.eventbrite.sg/e/death-meditation-an-evening-of-de-attachment-and-letting-go-tickets-812069129627?aff=ebdssbdestsearch,05/05/2024 23:07:14
Death Meditation - An Evening of De-attachment and Letting-go,"Friday
June
21
7:00 PM",SPACE2B,https://www.eventbrite.sg/e/death-meditation-an-evening-of-de-attachment-and-letting-go-tickets-812069129627?aff=ebdssbdestsearch,05/05/2024 23:07:14
Death Meditation - An Evening of De-attachment and Letting-go,"Friday
July
19
7:00 PM",SPACE2B,https://www.eventbrite.sg/e/death-meditation-an-evening-of-de-attachment-and-letting-go-tickets-812069129627?aff=ebdssbdestsearch,05/05/2024 23:07:14
Death Meditation - An Evening of De-attachment and Letting-go,"Friday
August
16
7:00 PM",SPACE2B,https://www.eventbrite.sg/e/death-meditation-an-evening-of-de-attachment-and-letting-go-tickets-812069129627?aff=ebdssbdestsearch,05/05/2024 23:07:14
Death Meditation - An Evening of De-attachment and Letting-go,More options,,https://www.eventbrite.sg/e/death-meditation-an-evening-of-de-attachment-and-letting-go-tickets-812069129627?aff=ebdssbdestsearch,05/05/2024 23:07:14
CERT First Aider Course (CFAC) Registration of Interest for Run 320,"Thu, 30 May, 09:00",The Adelphi,https://www.eventbrite.sg/e/cert-first-aider-course-cfac-registration-of-interest-for-run-320-registration-746926375897?aff=ebdssbdestsearch,05/05/2024 23:07:14
SEO Keyword Research Workshop,"Wed, 15 May, 19:00",Ahrefs Pte. Ltd.,https://www.eventbrite.sg/e/seo-keyword-research-workshop-tickets-896011142447?aff=ebdssbdestsearch,05/05/2024 23:07:14
Mother’s Day Rose-Lychee Tart Baking Class,"Sun, 12 May, 13:00",The Providore - Downtown Gallery,https://www.eventbrite.sg/e/mothers-day-rose-lychee-tart-baking-class-tickets-884004279597?aff=ebdssbdestsearch,05/05/2024 23:07:14
