Event Title,Date,Location,URL,Date_of_check
REITs Symposium 2024,"Sat, 11 May, 09:00",Suntec Convention Centre,https://www.eventbrite.sg/e/reits-symposium-2024-tickets-845501847787?aff=ebdssbdestsearch,01/05/2024 22:24:47
Jubilate XIV,,CHIJ St Nicholas Girls' School,https://www.eventbrite.sg/e/jubilate-xiv-tickets-853365618537?aff=ebdssbdestsearch,01/05/2024 22:24:47
Model Audition: Open Casting Call in Singapore,,Basic Studio,https://www.eventbrite.sg/e/model-audition-open-casting-call-in-singapore-tickets-874925093507?aff=ebdssbdestsearch,01/05/2024 22:24:47
RGPS Fantasia 2024,"Tue, 21 May, 19:00",Paya Lebar Methodist Girls' Secondary School,https://www.eventbrite.com/e/rgps-fantasia-2024-tickets-868077502177?aff=ebdssbdestsearch,01/05/2024 22:24:47
Decoupage Art Course by Angie Ong - SMII20240506DAC,"Mon, 6 May 2024 12:00 - 16:00 GMT+8",Brahm Centre @ Simei 148,https://www.eventbrite.sg/e/decoupage-art-course-by-angie-ong-smii20240506dac-tickets-858718218307?aff=ebdssbdestsearch,01/05/2024 22:24:47
Mosaic Art Course by Danica Yip - TP20240509MA,"Thu, 9 May, 13:00",Brahm Centre @ Tampines,https://www.eventbrite.sg/e/mosaic-art-course-by-danica-yip-tp20240509ma-tickets-848146758787?aff=ebdssbdestsearch,01/05/2024 22:24:47
Neuroscience of Happiness Seminar by Harvard's Dr Sara Lazar,"Thu, 2 May 2024 19:00 - 21:30 GMT+8",18 Jln Tan Tock Seng,https://www.eventbrite.sg/e/neuroscience-of-happiness-seminar-by-harvards-dr-sara-lazar-tickets-813720248167?aff=ebdssbdestsearch,01/05/2024 22:24:47
Pencil Sketching Course (Beginners) by Andrew Tan - NT20240513PSC,"Mon, 13 May, 14:30",Brahm Centre @ Newton,https://www.eventbrite.sg/e/pencil-sketching-course-beginners-by-andrew-tan-nt20240513psc-tickets-850514751517?aff=ebdssbdestsearch,01/05/2024 22:24:47
Ground Zero 2024,"Sat, 11 May, 08:00",Mapletree Business City,https://www.eventbrite.sg/e/ground-zero-2024-tickets-796070988757?aff=ebdssbdestsearch,01/05/2024 22:24:47
MS Spring Choir Concert,"Thu, 9 May, 16:30","Auditorium, Singapore American School",https://www.eventbrite.sg/e/ms-spring-choir-concert-tickets-885325742127?aff=ebdssbdestsearch,01/05/2024 22:24:47
