Event Title,Date,Location,URL,Date_of_check
Tokenization of Real World Assets using Blockchain | Singapore,"Tuesday, May 7 · 1 - 3pm GMT+8",Singapore,https://www.eventbrite.com.au/e/tokenization-of-real-world-assets-using-blockchain-singapore-tickets-849208745217?aff=ebdssbdestsearch,02/05/2024 10:43:28
"Monthly #FirstFridayFair Business, Data & Tech (Virtual Event) - #SIN","Friday, May 3 · 11am - 2pm GMT+8",Virtual Event [Online Only],https://www.eventbrite.com/e/monthly-firstfridayfair-business-data-tech-virtual-event-sin-tickets-25308983852?aff=ebdssbdestsearch,02/05/2024 10:43:28
ALGORYTHM™️| Gamifying AI Systems in The Age of AI,"Thursday, May 2 · 7 - 10pm GMT+8",Algorythm Online Classroom,https://www.eventbrite.com/e/algorythmtm-gamifying-ai-systems-in-the-age-of-ai-tickets-635073330427?aff=ebdssbdestsearch,02/05/2024 10:43:28
How to Establish Your Online Presence in a Day with AI and Automation,"Thursday, May 9 · 7 - 8:30pm GMT+8",Singapore Incubator Center - Online Event,https://www.eventbrite.com/e/how-to-establish-your-online-presence-in-a-day-with-ai-and-automation-tickets-802006271347?aff=ebdssbdestsearch,02/05/2024 10:43:28
DIVINE REST – YOGA NIDRA + GONGS,"Thursday, May 9 · 5 - 6pm GMT+8",SPACE2B,https://www.eventbrite.sg/e/divine-rest-yoga-nidra-gongs-tickets-812194955977?aff=ebdssbdestsearch,02/05/2024 10:43:28
THE JEWEL IN THE LOTUS - Reiki Healing & Gong + Crystal Bowls Sound Healing,"Friday, May 3 · 5 - 6pm GMT+8",SPACE2B,https://www.eventbrite.sg/e/the-jewel-in-the-lotus-reiki-healing-gong-crystal-bowls-sound-healing-tickets-812182217877?aff=ebdssbdestsearch,02/05/2024 10:43:28
CRYSTAL CAVE “HEART WITHIN THE HEART” – Awakening Creativity,"Friday, May 3 · 2 - 3pm GMT+8",SPACE2B,https://www.eventbrite.sg/e/crystal-cave-heart-within-the-heart-awakening-creativity-tickets-812186741407?aff=ebdssbdestsearch,02/05/2024 10:43:28
Kundalini Yoga for Vitality and Youth,"Sat, 4 May 2024 08:00 - 09:15 GMT+8",203 Henderson Rd,https://www.eventbrite.sg/e/kundalini-yoga-for-vitality-and-youth-tickets-764338987487?aff=ebdssbdestsearch,02/05/2024 10:43:28
Outdoor Yoga @ Botanical Garden,"Friday, May 3 · 9:30 - 11am GMT+8",Botanic Gardens MRT Station,https://www.eventbrite.sg/e/outdoor-yoga-botanical-garden-tickets-764537300647?aff=ebdssbdestsearch,02/05/2024 10:43:28
Introduction To Lost Wax Casting,"Sat, 4 May 2024 10:00 - 13:00 GMT+8",229 Joo Chiat Rd,https://www.eventbrite.sg/e/introduction-to-lost-wax-casting-tickets-306251786337?aff=ebdssbdestsearch,02/05/2024 10:43:28
