Event Title,Date,Location,URL,Date_of_check
Doujin Market 2024,May 11 · 12pm - May 12 · 7pm GMT+8,Suntec Singapore Convention & Exhibition Centre,https://www.eventbrite.sg/e/doujin-market-2024-tickets-854639749497?aff=ebdssbdestsearch,05/05/2024 21:37:52
REITs Symposium 2024,"Sat, 11 May 2024 9:00 AM - 5:00 PM GMT+8",Suntec Convention Centre,https://www.eventbrite.sg/e/reits-symposium-2024-tickets-845501847787?aff=ebdssbdestsearch,05/05/2024 21:37:52
Heroes and Monsters: A Strings Adventure. Middle School Strings Concert,"Wednesday, May 8 · 4:30 - 5:30pm GMT+8","Auditorium, Singapore American School",https://www.eventbrite.sg/e/heroes-and-monsters-a-strings-adventure-middle-school-strings-concert-tickets-893381186177?aff=ebdssbdestsearch,05/05/2024 21:37:52
MS Spring Choir Concert,"Thursday, May 9 · 4:30 - 5:30pm GMT+8","Auditorium, Singapore American School",https://www.eventbrite.sg/e/ms-spring-choir-concert-tickets-885325742127?aff=ebdssbdestsearch,05/05/2024 21:37:52
Jubilate XIV,,CHIJ St Nicholas Girls' School,https://www.eventbrite.sg/e/jubilate-xiv-tickets-853365618537?aff=ebdssbdestsearch,05/05/2024 21:37:52
PCF Parenting Conference 2024,"Sat, 18 May, 10:00","Changi Experience Studio, Level 4",https://www.eventbrite.sg/e/pcf-parenting-conference-2024-tickets-886043338477?aff=ebdssbdestsearch,05/05/2024 21:37:52
Canon Creators Fiesta,"Sat, 11 May 2024 10:00 - 18:00 GMT+8",National Gallery Singapore,https://www.eventbrite.sg/e/canon-creators-fiesta-tickets-875790441787?aff=ebdssbdestsearch,05/05/2024 21:37:52
Amplitube,"Sat, 18 May, 16:30",Esplanade Annexe Studio,https://www.eventbrite.sg/e/amplitube-tickets-878160219857?aff=ebdssbdestsearch,05/05/2024 21:37:52
MS BAND CONCERT,"Tuesday, May 7 · 4:30 - 5:30pm GMT+8","Auditorium, Singapore American School",https://www.eventbrite.sg/e/ms-band-concert-tickets-885975515617?aff=ebdssbdestsearch,05/05/2024 21:37:52
Vocabella Ladies Choir: Lux et Amor,"Sun, 19 May, 17:00","School of the Arts, Singapore",https://www.eventbrite.sg/e/vocabella-ladies-choir-lux-et-amor-tickets-850959772587?aff=ebdssbdestsearch,05/05/2024 21:37:52
RGPS Fantasia 2024,"Tue, 21 May, 19:00",Paya Lebar Methodist Girls' Secondary School,https://www.eventbrite.com/e/rgps-fantasia-2024-tickets-868077502177?aff=ebdssbdestsearch,05/05/2024 21:37:52
Concert of the People 2024: In One Voice!,,,https://www.eventbrite.sg/e/concert-of-the-people-2024-in-one-voice-tickets-857997532717?aff=ebdssbdestsearch,05/05/2024 21:37:52
AiSP CyberSec Conference 2024,"Wed, 15 May, 09:00",Suntec Singapore Convention & Exhibition Centre,https://www.eventbrite.sg/e/aisp-cybersec-conference-2024-tickets-802128306357?aff=ebdssbdestsearch,05/05/2024 21:37:52
Kings of Bass presents HOSPITALITY 2024 feat. P MONEY x WHINEY & ANAЇS (UK),"Fri, 17 May, 22:00",TPI Building,https://www.eventbrite.sg/e/kings-of-bass-presents-hospitality-2024-feat-p-money-x-whiney-anas-uk-tickets-858714557357?aff=ebdssbdestsearch,05/05/2024 21:37:52
Joust! 23.24 ES Musical (16 May 2024),"Thu, 16 May, 16:30",Elementary Theater - Singapore American School,https://www.eventbrite.sg/e/joust-2324-es-musical-16-may-2024-tickets-866020158607?aff=ebdssbdestsearch,05/05/2024 21:37:52
Grace Community Lunch,"Sun, 19 May, 12:00",Grand Mercure Singapore Roxy,https://www.eventbrite.com/e/grace-community-lunch-tickets-867078644567?aff=ebdssbdestsearch,05/05/2024 21:37:52
Viva Vox VII,"Wed, 8 May 2024 20:00 - 21:30 GMT+8",The Salvation Army,https://www.eventbrite.sg/e/viva-vox-vii-tickets-852003815347?aff=ebdssbdestsearch,05/05/2024 21:37:52
Nonsensical Notes - Songs of Innocence by The ROS Singers,"Starts on Sat, 11 May 2024 15:30 GMT+8",Yong Siew Toh Conservatory Concert Hall,https://www.eventbrite.sg/e/nonsensical-notes-songs-of-innocence-by-the-ros-singers-tickets-867218813817?aff=ebdssbdestsearch,05/05/2024 21:37:52
hacksingapore 2024,"Sat, 25 May, 09:00",Eclipse,https://www.eventbrite.com/e/hacksingapore-2024-tickets-880020413747?aff=ebdssbdestsearch,05/05/2024 21:37:52
